block_number,to_address,amount
0,0x0000000000000000000000000000000000000000,5000000000000000000
0,0x05a56E2D52c817161883f50c441c3228CFe54d9f,5000000000000000000
0,0xdd2F1e6e498202e86D8f5442Af596580A4f03c2C,5000000000000000000
0,0x5088D623ba0fcf0131E0897a91734A4D83596AA0,5156250000000000000
0,0xc8ebccC5F5689Fa8659d83713341e5aD19349448,5156250000000000000
1,0xbb7B8287f3F0a933474a79eAe42CBCa977791171,5000000000000000000
2,0xbb7B8287f3F0a933474a79eAe42CBCa977791171,5000000000000000000
3,0xbb7B8287f3F0a933474a79eAe42CBCa977791171,5000000000000000000
4,0x2F85B3bF062769b2A2672200aFb21e3F4067a86d,5000000000000000000
5,0xbb7B8287f3F0a933474a79eAe42CBCa977791171,5000000000000000000
6,0x1B7047b4338ACf65bE94C1A3e8c5c9338ad7d67C,5156250000000000000
7,0xd7E30ae310C1D1800F5B641Baa7af95b2e1FD98C,5000000000000000000
8,0xbb7B8287f3F0a933474a79eAe42CBCa977791171,5000000000000000000
9,0xbb7B8287f3F0a933474a79eAe42CBCa977791171,5156250000000000000
10,0xd7E30ae310C1D1800F5B641Baa7af95b2e1FD98C,5000000000000000000
11,0xacc8dECDFDCbed202B8632947c60487494F5D2c7,5000000000000000000
12,0xbb7B8287f3F0a933474a79eAe42CBCa977791171,5000000000000000000
13,0x0193d941b50d91BE6567c7eE1C0Fe7AF498b4137,5000000000000000000
14,0x0193d941b50d91BE6567c7eE1C0Fe7AF498b4137,5156250000000000000
15,0x28921e4e2C9d84F4c0f0C0cEb991f45751a0fe93,5000000000000000000
16,0xbb7B8287f3F0a933474a79eAe42CBCa977791171,5000000000000000000
17,0xbb7B8287f3F0a933474a79eAe42CBCa977791171,5000000000000000000
18,0xbb7B8287f3F0a933474a79eAe42CBCa977791171,5000000000000000000
19,0xbb7B8287f3F0a933474a79eAe42CBCa977791171,5156250000000000000
20,0x10C3eedde6fBda160041f479fCaf26bb38316fCd,5000000000000000000
21,0xd7E30ae310C1D1800F5B641Baa7af95b2e1FD98C,5156250000000000000
22,0x48CD680bb700F6b7DE89Dd9FF4932CcC158c3e05,5000000000000000000
23,0xbb7B8287f3F0a933474a79eAe42CBCa977791171,5000000000000000000
24,0x28921e4e2C9d84F4c0f0C0cEb991f45751a0fe93,5000000000000000000
25,0x20c6Efe179C293690A5B3375F5bd81c2f07Ed037,5000000000000000000
26,0x28921e4e2C9d84F4c0f0C0cEb991f45751a0fe93,5156250000000000000